Date,Average temperature,Average dewpoint,Average windspeed,Average direction,Rainfall for year,Maximum temperature,Maximum humidity,Maximum pressure,Maximum windspeed ,Maximum heat index,Average humidity,Average barometer,Average gustspeed,Rainfall for month,Maximum rain per minute,Minimum temperature,Minimum humidity,Minimum pressure,Maximum gust speed
10/02/2015,55,30.0,8.4,0.29,0.01,23.8,23,29.770,34.5,36.9,20.1,5.5,260,0.43,48.5,90,30.239,23.0,48.5
11/02/2015,31.0,20.2,1.6,111,0.43,44.2,85,30.527,11.5,44.2,66,30.4,3.1,0.29,0.00,20.2,41,30.205,13.8
12/02/2015,35,30.2,14.2,0.29,0.00,18.8,15,30.030,38.0,40.1,11.0,9.8,257,0.43,51.6,86,30.399,26.5,51.6
13/02/2015,44.7,13.8,5.7,276,0.43,58.3,51,30.194,18.4,58.3,30,30.1,8.7,0.29,0.00,30.3,15,29.992,21.9
14/02/2015,22,30.0,10.7,0.29,0.00,26.9,10,29.739,26.5,48.0,8.9,7.2,246,0.43,60.5,45,30.158,19.6,60.5
15/02/2015,28.8,18.1,3.5,54,0.43,47.3,87,30.233,12.7,47.3,68,30.0,5.7,0.29,0.00,19.4,25,29.674,21.9
16/02/2015,80,30.3,2.6,0.29,0.00,3.0,64,30.204,11.5,17.4,12.3,1.4,93,0.43,23.2,86,30.465,8.1,23.2
17/02/2015,18.9,0.8,5.2,289,0.59,30.1,79,30.465,21.9,30.1,49,30.3,9.0,0.45,0.01,0.9,26,30.008,34.5
18/02/2015,33,30.1,11.1,0.46,0.01,20.6,24,29.974,31.1,34.2,7.6,7.3,273,0.60,45.8,51,30.193,20.7,45.8
19/02/2015,43.8,11.7,14.7,264,0.60,52.0,36,29.975,28.8,52.0,27,29.8,22.5,0.46,0.00,38.3,19,29.644,42.6
20/02/2015,56,29.7,10.7,0.46,0.00,23.8,27,29.616,36.8,33.6,17.7,7.1,258,0.60,43.2,84,29.965,23.0,43.2
21/02/2015,19.2,14.7,2.8,76,0.66,26.6,87,30.451,13.8,26.6,82,30.1,4.7,0.52,0.01,5.8,75,29.916,19.6
22/02/2015,75,30.6,3.8,0.52,0.00,0.5,72,30.451,11.5,3.7,-2.4,2.2,82,0.66,6.5,79,30.768,6.9,6.5
23/02/2015,11.4,4.1,1.0,63,0.96,31.1,82,30.754,6.9,31.1,72,30.5,1.8,0.82,0.01,-3.3,54,30.292,11.5
24/02/2015,62,30.3,3.1,0.82,0.00,-1.2,31,29.814,24.2,20.4,8.4,1.8,29,0.96,41.8,80,30.587,15.0,41.8
25/02/2015,28.3,13.2,7.1,228,0.96,36.6,80,30.177,24.2,36.6,54,29.9,10.6,0.82,0.00,12.8,33,29.711,34.5
26/02/2015,74,30.3,4.9,0.82,0.00,2.4,63,30.172,16.1,8.8,2.1,2.8,79,0.96,17.3,82,30.464,11.5,17.3
27/02/2015,6.9,-0.9,1.7,52,1.03,22.2,79,30.450,11.5,22.2,70,30.3,2.8,0.89,0.02,-7.9,56,30.070,13.8
28/02/2015,70,30.2,4.0,0.89,0.00,-2.0,45,30.123,13.8,11.9,3.4,2.3,59,1.03,26.3,81,30.352,10.4,26.3
1/03/2015,16.9,10.9,2.2,50,1.05,27.0,83,30.475,11.5,27.0,77,30.3,3.6,0.02,0.01,9.3,61,30.144,16.1
2/03/2015,66,29.8,6.2,0.16,0.01,17.0,31,29.409,36.8,33.3,21.4,4.1,262,1.19,48.9,87,30.287,24.2,48.9
3/03/2015,18.9,11.5,4.0,98,1.20,31.7,81,30.150,15.0,31.7,73,29.8,6.3,0.17,0.01,9.2,55,29.432,20.7
4/03/2015,62,30.4,8.4,0.17,0.00,0.1,23,30.112,34.5,10.8,-1.3,5.2,282,1.20,17.2,80,30.490,19.6,17.2
5/03/2015,27.3,1.5,14.5,236,1.22,37.5,42,30.428,24.2,37.5,33,30.3,20.5,0.19,0.01,15.9,24,30.186,34.5
6/03/2015,30,30.2,12.1,0.19,0.00,26.0,20,30.148,34.5,36.3,7.1,7.8,257,1.22,46.5,51,30.354,20.7,46.5
7/03/2015,32.9,13.5,2.0,58,1.22,48.5,69,30.425,10.4,48.5,46,30.2,3.7,0.19,0.00,17.7,26,30.071,11.5
8/03/2015,57,30.1,3.0,0.19,0.00,19.1,35,30.052,11.5,31.4,17.6,1.6,74,1.22,43.9,81,30.318,6.9,43.9
9/03/2015,33.5,13.6,3.7,253,1.22,51.3,85,30.215,16.1,51.3,51,30.1,5.6,0.19,0.00,15.4,20,29.946,20.7
10/03/2015,38,30.0,4.0,0.19,0.00,25.8,17,29.845,13.8,39.3,13.9,2.3,166,1.22,54.9,68,30.188,11.5,54.9
11/03/2015,40.9,9.6,4.0,267,1.22,56.7,78,30.331,15.0,56.7,35,30.2,6.1,0.19,0.00,19.9,10,29.939,20.7
12/03/2015,28,30.0,7.8,0.19,0.00,36.6,15,29.914,19.6,46.6,12.6,5.1,256,1.22,55.9,68,30.175,12.7,55.9
13/03/2015,38.6,27.2,1.4,100,1.24,48.9,90,30.437,8.1,48.9,66,30.3,2.6,0.21,0.01,30.4,33,30.140,11.5
14/03/2015,47,30.3,7.4,0.21,0.00,18.9,15,29.953,26.5,41.0,16.8,5.1,246,1.24,58.9,87,30.518,17.3,58.9
15/03/2015,55.8,18.1,6.7,248,1.24,71.1,56,30.046,18.4,73.9,24,29.9,10.2,0.21,0.00,38.8,14,29.790,26.5
16/03/2015,30,29.8,12.2,0.21,0.00,35.2,10,29.657,28.8,55.4,19.3,8.1,267,1.24,69.4,70,30.038,18.4,72.0
17/03/2015,39.5,31.3,2.2,93,1.24,52.8,90,30.216,10.4,52.8,74,30.1,4.1,0.21,0.00,32.8,49,29.939,13.8
18/03/2015,58,29.8,4.4,0.21,0.00,32.1,28,29.771,18.4,43.5,27.3,2.7,289,1.24,55.6,88,29.962,11.5,55.6
19/03/2015,34.5,29.1,2.4,51,1.27,41.9,90,30.284,10.4,41.9,81,30.0,3.9,0.24,0.01,23.3,67,29.783,12.7
20/03/2015,56,30.3,1.9,0.29,0.01,14.3,14,30.066,11.5,35.3,15.9,1.0,46,1.32,59.5,89,30.414,9.2,59.5
21/03/2015,41.7,13.0,2.6,270,1.32,63.4,78,30.365,17.3,63.4,40,30.0,4.2,0.29,0.00,21.4,9,29.861,27.6
22/03/2015,34,29.9,6.2,0.29,0.00,29.3,10,29.835,25.3,44.3,14.1,3.7,307,1.32,63.2,65,30.067,13.8,63.2
23/03/2015,40.9,22.9,5.9,241,1.32,56.2,87,29.972,25.3,56.2,56,29.8,8.9,0.29,0.00,27.0,18,29.640,34.5
24/03/2015,42,29.8,20.3,0.29,0.00,30.6,20,29.640,41.4,38.1,15.7,13.1,258,1.32,45.5,86,29.915,28.8,45.5
25/03/2015,32.4,22.0,3.2,319,1.36,39.1,88,30.301,18.4,39.1,67,30.1,5.3,0.33,0.01,24.2,31,29.842,25.3
26/03/2015,36,30.1,12.9,0.33,0.00,30.0,26,30.020,31.1,40.6,15.3,8.5,243,1.36,51.7,47,30.259,20.7,51.7
27/03/2015,49.1,23.8,7.9,237,1.36,62.1,59,30.052,23.0,62.1,38,30.0,11.7,0.33,0.00,37.9,22,29.867,32.2
28/03/2015,29,29.8,14.9,0.33,0.00,35.6,13,29.638,42.6,54.6,21.0,9.7,252,1.36,65.5,65,30.029,31.1,65.5
29/03/2015,47.3,15.4,5.2,253,1.36,57.6,63,30.076,18.4,57.6,29,30.0,8.4,0.33,0.00,30.3,14,29.759,29.9
30/03/2015,22,29.9,9.8,0.33,0.00,28.8,9,29.820,29.9,50.8,9.2,6.0,275,1.36,64.3,66,30.082,17.3,64.3
31/03/2015,47.6,13.3,4.3,273,1.36,68.3,63,30.061,20.7,70.7,31,29.9,6.8,0.33,0.00,24.5,10,29.576,28.8
1/04/2015,49.5,18.2,6.1,240,1.36,59.2,56,29.718,26.5,59.2,30,29.5,9.4,0.00,0.00,35.2,19,29.382,42.6
2/04/2015,77,29.9,5.8,0.00,0.00,21.3,56,29.712,13.8,28.9,22.4,3.5,78,1.36,35.2,90,30.245,10.4,35.2
3/04/2015,26.0,18.9,2.4,236,1.60,37.9,88,30.453,16.1,37.9,76,30.4,4.3,0.24,0.01,16.2,32,30.239,25.3
4/04/2015,39,30.1,9.9,0.24,0.00,14.6,9,29.765,29.9,36.5,8.6,6.7,239,1.60,55.1,86,30.392,23.0,55.1
5/04/2015,44.9,6.7,6.9,244,1.60,60.8,62,29.883,23.0,60.8,26,29.7,10.3,0.24,0.00,23.9,8,29.428,33.4
6/04/2015,13,29.5,13.2,0.24,0.00,41.1,6,29.388,32.2,52.9,2.1,8.9,240,1.60,62.7,21,29.599,21.9,62.7
7/04/2015,45.7,18.3,4.7,9,1.60,56.6,78,29.753,20.7,56.6,39,29.6,8.1,0.24,0.00,32.5,10,29.509,32.2
8/04/2015,58,29.6,6.7,0.24,0.00,34.4,25,29.431,32.2,40.7,26.2,4.0,252,1.60,48.9,86,29.699,20.7,48.9
9/04/2015,36.9,18.3,4.6,256,1.60,48.0,69,30.139,13.8,48.0,48,29.9,7.6,0.24,0.00,27.2,27,29.650,25.3
10/04/2015,56,30.1,4.3,0.24,0.00,19.2,16,29.932,24.2,36.3,19.6,2.5,224,1.60,54.6,86,30.231,17.3,54.6
11/04/2015,39.5,14.1,3.0,257,1.60,60.2,84,30.077,20.7,60.2,46,29.9,4.7,0.24,0.00,21.1,11,29.663,27.6
12/04/2015,22,29.7,11.7,0.24,0.00,30.9,10,29.486,34.5,45.7,6.9,7.3,267,1.60,55.2,47,29.983,23.0,55.2
